hour,price
534,383.95
535,481.22
536,518.69
537,499.51
538,462.63
539,431.06
540,393.99
541,366.65
542,359.86
543,359.96
544,339.7
545,364.09
546,324.45
547,321.5
548,304.78
549,291.31
550,282.46
551,276.46
552,267.48
553,265.12
554,248.28
555,252.32
556,255.17
557,269.75
558,283.93
559,314.56
560,318.99
561,313.97
562,301.07
563,294.47
564,293.68
565,289.54
566,289.15
567,289.05
568,288.85
569,292.5
570,288.26
571,286
572,280.19
573,277.23
574,246.6
575,153.54
576,214.07
577,155.93
578,149.34
579,175.12
580,221.55
581,255.79
582,276.64
583,297.11
584,304.49
585,304.58
586,303.6
587,299.96
588,297.3
589,297.99
590,299.37
591,303.5
592,313.14
593,328.39
594,326.52
595,316.19
596,309.7
597,302.22
598,292.29
599,285.11
600,287.3
601,284.45
602,283.96
603,285.53
604,289.94
605,295.34
606,306.23
607,329.39
608,349.11
609,338.61
610,348.62
611,334.49
612,327.23
613,323.11
614,322.03
615,320.36
616,329.09
617,377.27
618,345.48
619,326.25
620,318.4
621,309.57
622,300.74
623,296.22
624,302.04
625,296.35
626,294.29
627,294.09
628,296.45
629,301.84
630,301.64
631,301.64
632,309.39
633,320.77
634,336.85
635,332.93
636,321.36
637,313.71
638,308.51
639,304.78
640,306.84
641,351.46
642,319.98
643,313.41
644,294.19
645,284.78
646,281.35
647,276.83
648,275.95
649,271.16
650,262.94
651,260.1
652,261.38
653,264.99
654,268.32
655,269.01
656,272.82
657,274.58
658,280.55
659,281.04
660,280.45
661,279.08
662,275.75
663,279.57
664,281.92
665,286.12
666,286.71
667,283.97
668,281.72
669,279.57
670,273.5
671,269.79
672,270.67
673,263.14
674,255.8
675,268.32
676,271.35
677,279.37
678,291.21
679,301.09
680,302.26
681,299.33
682,298.94
683,298.55
684,297.47
685,296.79
686,296.79
687,298.55
688,299.33
689,312.83
690,327.11
691,300.01
692,291.21
693,285.05
694,280.45
695,275.17
696,273.59
697,271.63
698,268.11
699,269.48
700,272.8
701,280.83
702,304.21
703,338.26
704,327.01
705,321.24
706,322.22
707,317.32
708,316.35
709,314.98
710,314.68
711,316.74
712,321.53
713,427.01
714,414.49
715,357.15
716,324.57
717,316.74
718,304.51
719,294.62
720,289.82
721,283.66
722,275.04
723,273.97
724,272.6
725,274.65
726,294.33
727,306.85
728,311.45
729,302.35
730,300.59
731,293.93
732,289.82
733,287.57
734,290.02
735,290.02
736,296.18
737,313.71
738,324.47
739,308.22
740,292.86
741,282.38
742,277.2
743,268
744,264.26
745,254.59
746,249.7
747,261.72
748,263.38
749,281.84
750,299.52
751,318.87
752,319.75
753,317.3
754,316.62
755,308.41
756,303.63
757,307.24
758,308.71
759,307.93
760,313.59
761,322.19
762,323.95
763,315.15
764,307.05
765,307.34
766,301.28
767,286.82
768,295.19
769,292.74
770,291.96
771,291.47
772,295
773,315.38
774,329.88
775,366.73
776,361.83
777,360.66
778,403.78
779,354.39
780,340.57
781,344.98
782,348.6
783,345.27
784,362.42
785,360.66
786,356.74
787,355.17
788,334.59
789,327.14
790,322.44
791,312.83
792,323.4
793,316.72
794,314.46
795,314.36
796,316.92
797,323.01
798,323.6
799,327.83
800,332.15
801,344.43
802,359.17
803,354.85
804,340.31
805,332.84
806,328.71
807,329.1
808,354.55
809,443.59
810,386.79
811,340.7
812,327.83
813,323.6
814,321.24
815,315.93
816,319.83
817,308.02
818,304.68
819,304.97
820,303.4
821,303
822,303.5
823,307.33
824,310.98
825,318.65
826,325.74
827,338.92
828,328.69
829,315.7
830,313.34
831,316.39
832,337.05
833,390.79
834,422.28
835,393.74
836,355.75
837,344.44
838,337.15
839,323.97
840,316.29
841,306.84
842,304.28
843,304.38
844,310.48
845,331.35
846,407.52
847,739.06
848,799.68
849,791.51
850,689.07
851,530.33
852,478.57
853,473.25
854,472.96
855,491.75
856,629.53
857,917.77
858,771.93
859,545.29
860,469.91
861,393.34
862,383.8
863,354.47
864,355.42
865,344.4
866,340.96
867,348.14
868,356.7
869,367.62
870,432.47
871,577.12
872,635.47
873,626.71
874,586.37
875,489.64
876,449.1
877,438.96
878,461.69
879,486.59
880,528.9
881,612.05
882,644.52
883,571.51
884,465.43
885,396.16
886,366.24
887,334.36
888,332.38
889,329.72
890,324.39
891,325.97
892,331.79
893,339.48
894,403.45
895,592.11
896,604.53
897,581.27
898,570.52
899,463.18
900,443.07
